,Date,Energie (kWh),Installation,Irradiance
5517,2023-06-20 21:00:00,2.58,LYCEE RESTAT - SERRE,
5518,2023-06-20 22:00:00,0.0,LYCEE RESTAT - SERRE,
5519,2023-06-20 23:00:00,0.0,LYCEE RESTAT - SERRE,
5520,2023-06-21 00:00:00,0.0,LYCEE RESTAT - SERRE,
5521,2023-06-21 01:00:00,0.0,LYCEE RESTAT - SERRE,
5522,2023-06-21 02:00:00,0.0,LYCEE RESTAT - SERRE,
5523,2023-06-21 03:00:00,0.0,LYCEE RESTAT - SERRE,
5524,2023-06-21 04:00:00,0.0,LYCEE RESTAT - SERRE,
5525,2023-06-21 05:00:00,0.0,LYCEE RESTAT - SERRE,
5526,2023-06-21 06:00:00,0.67,LYCEE RESTAT - SERRE,
5527,2023-06-21 07:00:00,25.58,LYCEE RESTAT - SERRE,
5528,2023-06-21 08:00:00,82.58,LYCEE RESTAT - SERRE,
5529,2023-06-21 09:00:00,253.92,LYCEE RESTAT - SERRE,
5530,2023-06-21 10:00:00,49.67,LYCEE RESTAT - SERRE,
5531,2023-06-21 11:00:00,51.17,LYCEE RESTAT - SERRE,
5532,2023-06-21 12:00:00,235.08,LYCEE RESTAT - SERRE,
5533,2023-06-21 13:00:00,237.08,LYCEE RESTAT - SERRE,
5534,2023-06-21 14:00:00,150.0,LYCEE RESTAT - SERRE,
5535,2023-06-21 15:00:00,204.92,LYCEE RESTAT - SERRE,
5536,2023-06-21 16:00:00,257.92,LYCEE RESTAT - SERRE,
5537,2023-06-21 17:00:00,563.17,LYCEE RESTAT - SERRE,
5538,2023-06-21 18:00:00,132.42,LYCEE RESTAT - SERRE,
5539,2023-06-21 19:00:00,80.08,LYCEE RESTAT - SERRE,
5540,2023-06-21 20:00:00,26.83,LYCEE RESTAT - SERRE,
5541,2023-06-21 21:00:00,0.33,LYCEE RESTAT - SERRE,
5542,2023-06-21 22:00:00,0.0,LYCEE RESTAT - SERRE,
5543,2023-06-21 23:00:00,0.0,LYCEE RESTAT - SERRE,
5544,2023-06-22 00:00:00,0.0,LYCEE RESTAT - SERRE,
5545,2023-06-22 01:00:00,0.0,LYCEE RESTAT - SERRE,
5546,2023-06-22 02:00:00,0.0,LYCEE RESTAT - SERRE,
5547,2023-06-22 03:00:00,0.0,LYCEE RESTAT - SERRE,
5548,2023-06-22 04:00:00,0.0,LYCEE RESTAT - SERRE,
5549,2023-06-22 05:00:00,0.0,LYCEE RESTAT - SERRE,
5550,2023-06-22 06:00:00,7.08,LYCEE RESTAT - SERRE,
5551,2023-06-22 07:00:00,31.67,LYCEE RESTAT - SERRE,
5552,2023-06-22 08:00:00,92.25,LYCEE RESTAT - SERRE,
5553,2023-06-22 09:00:00,100.42,LYCEE RESTAT - SERRE,
5554,2023-06-22 10:00:00,251.25,LYCEE RESTAT - SERRE,
5555,2023-06-22 11:00:00,326.75,LYCEE RESTAT - SERRE,
5556,2023-06-22 12:00:00,392.67,LYCEE RESTAT - SERRE,
5557,2023-06-22 13:00:00,441.25,LYCEE RESTAT - SERRE,
5558,2023-06-22 14:00:00,385.08,LYCEE RESTAT - SERRE,
5559,2023-06-22 15:00:00,633.08,LYCEE RESTAT - SERRE,
5560,2023-06-22 16:00:00,566.42,LYCEE RESTAT - SERRE,
5561,2023-06-22 17:00:00,327.83,LYCEE RESTAT - SERRE,
5562,2023-06-22 18:00:00,324.92,LYCEE RESTAT - SERRE,
5563,2023-06-22 19:00:00,182.25,LYCEE RESTAT - SERRE,
5564,2023-06-22 20:00:00,51.58,LYCEE RESTAT - SERRE,
5565,2023-06-22 21:00:00,6.33,LYCEE RESTAT - SERRE,
5566,2023-06-22 22:00:00,0.0,LYCEE RESTAT - SERRE,
5567,2023-06-22 23:00:00,0.0,LYCEE RESTAT - SERRE,
5568,2023-06-23 00:00:00,0.0,LYCEE RESTAT - SERRE,
5569,2023-06-23 01:00:00,0.0,LYCEE RESTAT - SERRE,
5570,2023-06-23 02:00:00,0.0,LYCEE RESTAT - SERRE,
5571,2023-06-23 03:00:00,0.0,LYCEE RESTAT - SERRE,
5572,2023-06-23 04:00:00,0.0,LYCEE RESTAT - SERRE,
5573,2023-06-23 05:00:00,0.0,LYCEE RESTAT - SERRE,
5574,2023-06-23 06:00:00,2.67,LYCEE RESTAT - SERRE,
5575,2023-06-23 07:00:00,33.42,LYCEE RESTAT - SERRE,
5576,2023-06-23 08:00:00,92.33,LYCEE RESTAT - SERRE,
5577,2023-06-23 09:00:00,205.92,LYCEE RESTAT - SERRE,
5578,2023-06-23 10:00:00,463.08,LYCEE RESTAT - SERRE,
5579,2023-06-23 11:00:00,706.33,LYCEE RESTAT - SERRE,
