"idDonneesCentrale","temps","compteurEnergie","irradiance_en_watt_par_surface","idCentrale_id"
310,"2024-03-19 15:37:00+01",NULL,"0.00",3
311,"2024-03-19 15:47:00+01",NULL,"0.00",3
312,"2024-03-19 15:57:00+01",NULL,"0.00",3
313,"2024-03-19 16:07:00+01",NULL,"0.00",3
314,"2024-03-19 16:17:00+01",NULL,"0.00",3
315,"2024-03-19 16:27:00+01",NULL,"0.00",3
316,"2024-03-19 16:37:00+01",NULL,"0.00",3
317,"2024-03-19 16:47:00+01",NULL,"0.00",3
318,"2024-03-19 16:57:00+01",NULL,"0.00",3
319,"2024-03-19 17:07:00+01",NULL,"0.00",3
320,"2024-03-19 17:17:00+01",NULL,"0.00",3
321,"2024-03-19 17:27:00+01",NULL,"0.00",3
322,"2024-03-19 17:37:00+01",NULL,"0.00",3
323,"2024-03-19 17:47:00+01",NULL,"0.00",3
324,"2024-03-19 17:57:00+01",NULL,"0.00",3
325,"2024-03-19 18:07:00+01",NULL,"0.00",3
326,"2024-03-19 18:17:00+01",NULL,"0.00",3
327,"2024-03-19 18:27:00+01",NULL,"0.00",3
328,"2024-03-19 18:37:00+01",NULL,"0.00",3
329,"2024-03-19 18:47:00+01",NULL,"0.00",3
330,"2024-03-19 18:57:00+01",NULL,"0.00",3
331,"2024-03-19 19:07:00+01",NULL,"0.00",3
332,"2024-03-19 19:17:00+01",NULL,"0.00",3
333,"2024-03-19 19:27:00+01",NULL,"0.00",3
334,"2024-03-19 19:37:00+01",NULL,"0.00",3
335,"2024-03-19 19:47:00+01",NULL,"0.00",3
336,"2024-03-19 19:57:00+01",NULL,"0.00",3
337,"2024-03-19 20:07:00+01",NULL,"0.00",3
338,"2024-03-19 20:17:00+01",NULL,"0.00",3
339,"2024-03-19 20:27:00+01",NULL,"0.00",3
340,"2024-03-19 20:37:00+01",NULL,"0.00",3
341,"2024-03-19 20:47:00+01",NULL,"0.00",3
342,"2024-03-19 20:57:00+01",NULL,"0.00",3
343,"2024-03-19 21:07:00+01",NULL,"0.00",3
344,"2024-03-19 21:17:00+01",NULL,"0.00",3
345,"2024-03-19 21:27:00+01",NULL,"0.00",3
346,"2024-03-19 21:37:00+01",NULL,"0.00",3
347,"2024-03-19 21:47:00+01",NULL,"0.00",3
348,"2024-03-19 21:57:00+01",NULL,"0.00",3
349,"2024-03-19 22:07:00+01",NULL,"0.00",3
350,"2024-03-19 22:17:00+01",NULL,"0.00",3
351,"2024-03-19 22:27:00+01",NULL,"0.00",3
352,"2024-03-19 22:37:00+01",NULL,"0.00",3
353,"2024-03-19 08:40:00+01",NULL,"0.00",4
354,"2024-03-19 08:45:00+01",NULL,"9.27",4
355,"2024-03-19 08:50:00+01",NULL,"0.00",4
356,"2024-03-19 08:55:00+01",NULL,"0.00",4
357,"2024-03-19 09:00:00+01",NULL,"12.75",4
358,"2024-03-19 09:05:00+01",NULL,"0.00",4
359,"2024-03-19 09:10:00+01",NULL,"0.00",4
360,"2024-03-19 09:15:00+01",NULL,"17.72",4
361,"2024-03-19 09:20:00+01",NULL,"0.00",4
362,"2024-03-19 09:25:00+01",NULL,"0.00",4
