,Date,Energie (kWh),Centrale,Installation
1358,2023-07-27 14:00:00,745.67,,LYCEE RESTAT - SERRE
1359,2023-07-27 15:00:00,713.5,,LYCEE RESTAT - SERRE
1360,2023-07-27 16:00:00,661.33,,LYCEE RESTAT - SERRE
1361,2023-07-27 17:00:00,549.58,,LYCEE RESTAT - SERRE
1362,2023-07-27 18:00:00,365.5,,LYCEE RESTAT - SERRE
1363,2023-07-27 19:00:00,182.25,,LYCEE RESTAT - SERRE
1364,2023-07-27 20:00:00,48.08,,LYCEE RESTAT - SERRE
1365,2023-07-27 21:00:00,3.5,,LYCEE RESTAT - SERRE
1366,2023-07-27 22:00:00,0.0,,LYCEE RESTAT - SERRE
1367,2023-07-27 23:00:00,0.0,,LYCEE RESTAT - SERRE
1368,2023-07-28 00:00:00,0.0,,LYCEE RESTAT - SERRE
1369,2023-07-28 01:00:00,0.0,,LYCEE RESTAT - SERRE
1370,2023-07-28 02:00:00,0.0,,LYCEE RESTAT - SERRE
1371,2023-07-28 03:00:00,0.0,,LYCEE RESTAT - SERRE
1372,2023-07-28 04:00:00,0.0,,LYCEE RESTAT - SERRE
1373,2023-07-28 05:00:00,0.0,,LYCEE RESTAT - SERRE
1374,2023-07-28 06:00:00,1.67,,LYCEE RESTAT - SERRE
1375,2023-07-28 07:00:00,36.92,,LYCEE RESTAT - SERRE
1376,2023-07-28 08:00:00,87.92,,LYCEE RESTAT - SERRE
1377,2023-07-28 09:00:00,255.0,,LYCEE RESTAT - SERRE
1378,2023-07-28 10:00:00,477.75,,LYCEE RESTAT - SERRE
1379,2023-07-28 11:00:00,458.92,,LYCEE RESTAT - SERRE
1380,2023-07-28 12:00:00,687.92,,LYCEE RESTAT - SERRE
1381,2023-07-28 13:00:00,664.08,,LYCEE RESTAT - SERRE
1382,2023-07-28 14:00:00,734.83,,LYCEE RESTAT - SERRE
1383,2023-07-28 15:00:00,664.5,,LYCEE RESTAT - SERRE
1384,2023-07-28 16:00:00,662.42,,LYCEE RESTAT - SERRE
1385,2023-07-28 17:00:00,544.08,,LYCEE RESTAT - SERRE
1386,2023-07-28 18:00:00,347.08,,LYCEE RESTAT - SERRE
1387,2023-07-28 19:00:00,130.33,,LYCEE RESTAT - SERRE
1388,2023-07-28 20:00:00,42.58,,LYCEE RESTAT - SERRE
1389,2023-07-28 21:00:00,1.75,,LYCEE RESTAT - SERRE
1390,2023-07-28 22:00:00,0.0,,LYCEE RESTAT - SERRE
1391,2023-07-28 23:00:00,0.0,,LYCEE RESTAT - SERRE
1392,2023-07-29 00:00:00,0.0,,LYCEE RESTAT - SERRE
1393,2023-07-29 01:00:00,0.0,,LYCEE RESTAT - SERRE
1394,2023-07-29 02:00:00,0.0,,LYCEE RESTAT - SERRE
1395,2023-07-29 03:00:00,0.0,,LYCEE RESTAT - SERRE
1396,2023-07-29 04:00:00,0.0,,LYCEE RESTAT - SERRE
1397,2023-07-29 05:00:00,0.0,,LYCEE RESTAT - SERRE
1398,2023-07-29 06:00:00,0.0,,LYCEE RESTAT - SERRE
1399,2023-07-29 07:00:00,10.75,,LYCEE RESTAT - SERRE
1400,2023-07-29 08:00:00,106.5,,LYCEE RESTAT - SERRE
1401,2023-07-29 09:00:00,282.75,,LYCEE RESTAT - SERRE
1402,2023-07-29 10:00:00,350.08,,LYCEE RESTAT - SERRE
1403,2023-07-29 11:00:00,517.58,,LYCEE RESTAT - SERRE
1404,2023-07-29 12:00:00,591.67,,LYCEE RESTAT - SERRE
1405,2023-07-29 13:00:00,684.67,,LYCEE RESTAT - SERRE
1406,2023-07-29 14:00:00,485.5,,LYCEE RESTAT - SERRE
