﻿Installation,ID client,Date,Courbe de charge (kWh)
SAINT MARCEL,,2023-06-07 22:00:00,0.00
SAINT MARCEL,,2023-06-07 23:00:00,0.00
SAINT MARCEL,,2023-06-08 00:00:00,0.00
SAINT MARCEL,,2023-06-08 01:00:00,0.00
SAINT MARCEL,,2023-06-08 02:00:00,0.00
SAINT MARCEL,,2023-06-08 03:00:00,0.00
SAINT MARCEL,,2023-06-08 04:00:00,0.00
SAINT MARCEL,,2023-06-08 05:00:00,0.00
SAINT MARCEL,,2023-06-08 06:00:00,10.58
SAINT MARCEL,,2023-06-08 07:00:00,63.83
SAINT MARCEL,,2023-06-08 08:00:00,153.42
SAINT MARCEL,,2023-06-08 09:00:00,278.75
SAINT MARCEL,,2023-06-08 10:00:00,354.50
SAINT MARCEL,,2023-06-08 11:00:00,424.08
SAINT MARCEL,,2023-06-08 12:00:00,452.58
SAINT MARCEL,,2023-06-08 13:00:00,462.83
SAINT MARCEL,,2023-06-08 14:00:00,444.58
SAINT MARCEL,,2023-06-08 15:00:00,392.92
SAINT MARCEL,,2023-06-08 16:00:00,312.00
SAINT MARCEL,,2023-06-08 17:00:00,272.00
SAINT MARCEL,,2023-06-08 18:00:00,168.67
SAINT MARCEL,,2023-06-08 19:00:00,76.75
SAINT MARCEL,,2023-06-08 20:00:00,18.08
SAINT MARCEL,,2023-06-08 21:00:00,0.08
SAINT MARCEL,,2023-06-08 22:00:00,0.00
SAINT MARCEL,,2023-06-08 23:00:00,0.00
SAINT MARCEL,,2023-06-09 00:00:00,0.00
SAINT MARCEL,,2023-06-09 01:00:00,0.00
SAINT MARCEL,,2023-06-09 02:00:00,0.00
SAINT MARCEL,,2023-06-09 03:00:00,0.00
SAINT MARCEL,,2023-06-09 04:00:00,0.00
SAINT MARCEL,,2023-06-09 05:00:00,0.00
SAINT MARCEL,,2023-06-09 06:00:00,5.67
SAINT MARCEL,,2023-06-09 07:00:00,17.08
SAINT MARCEL,,2023-06-09 08:00:00,65.08
SAINT MARCEL,,2023-06-09 09:00:00,110.25
SAINT MARCEL,,2023-06-09 10:00:00,90.83
SAINT MARCEL,,2023-06-09 11:00:00,125.50
SAINT MARCEL,,2023-06-09 12:00:00,100.25
SAINT MARCEL,,2023-06-09 13:00:00,156.67
SAINT MARCEL,,2023-06-09 14:00:00,169.58
SAINT MARCEL,,2023-06-09 15:00:00,126.58
SAINT MARCEL,,2023-06-09 16:00:00,121.67
SAINT MARCEL,,2023-06-09 17:00:00,133.08
SAINT MARCEL,,2023-06-09 18:00:00,79.92
SAINT MARCEL,,2023-06-09 19:00:00,19.50
SAINT MARCEL,,2023-06-09 20:00:00,2.33
SAINT MARCEL,,2023-06-09 21:00:00,0.00
SAINT MARCEL,,2023-06-09 22:00:00,0.00
SAINT MARCEL,,2023-06-09 23:00:00,0.00
SAINT MARCEL,,2023-06-10 00:00:00,0.00
SAINT MARCEL,,2023-06-10 01:00:00,0.00
