﻿Installation,ID client,Date,Courbe de charge (kWh)
JADAS,P000993,2023-06-03 14:00:00,1967.00
JADAS,P000993,2023-06-03 15:00:00,2034.17
JADAS,P000993,2023-06-03 16:00:00,1880.33
JADAS,P000993,2023-06-03 17:00:00,1537.67
JADAS,P000993,2023-06-03 18:00:00,800.08
JADAS,P000993,2023-06-03 19:00:00,272.33
JADAS,P000993,2023-06-03 20:00:00,143.25
JADAS,P000993,2023-06-03 21:00:00,21.42
JADAS,P000993,2023-06-03 22:00:00,0.00
JADAS,P000993,2023-06-03 23:00:00,0.00
JADAS,P000993,2023-06-04 00:00:00,0.00
JADAS,P000993,2023-06-04 01:00:00,0.00
JADAS,P000993,2023-06-04 02:00:00,0.00
JADAS,P000993,2023-06-04 03:00:00,0.00
JADAS,P000993,2023-06-04 04:00:00,0.00
JADAS,P000993,2023-06-04 05:00:00,0.00
JADAS,P000993,2023-06-04 06:00:00,8.75
JADAS,P000993,2023-06-04 07:00:00,141.75
JADAS,P000993,2023-06-04 08:00:00,261.33
JADAS,P000993,2023-06-04 09:00:00,335.75
JADAS,P000993,2023-06-04 10:00:00,627.33
JADAS,P000993,2023-06-04 11:00:00,1390.08
JADAS,P000993,2023-06-04 12:00:00,2003.58
JADAS,P000993,2023-06-04 13:00:00,2185.67
JADAS,P000993,2023-06-04 14:00:00,2182.50
JADAS,P000993,2023-06-04 15:00:00,2114.83
JADAS,P000993,2023-06-04 16:00:00,1845.25
JADAS,P000993,2023-06-04 17:00:00,1791.75
JADAS,P000993,2023-06-04 18:00:00,614.83
JADAS,P000993,2023-06-04 19:00:00,208.50
JADAS,P000993,2023-06-04 20:00:00,116.42
JADAS,P000993,2023-06-04 21:00:00,12.17
JADAS,P000993,2023-06-04 22:00:00,0.00
JADAS,P000993,2023-06-04 23:00:00,0.00
JADAS,P000993,2023-06-05 00:00:00,0.00
JADAS,P000993,2023-06-05 01:00:00,0.00
JADAS,P000993,2023-06-05 02:00:00,0.00
JADAS,P000993,2023-06-05 03:00:00,0.00
JADAS,P000993,2023-06-05 04:00:00,0.00
JADAS,P000993,2023-06-05 05:00:00,0.00
JADAS,P000993,2023-06-05 06:00:00,7.42
JADAS,P000993,2023-06-05 07:00:00,124.33
JADAS,P000993,2023-06-05 08:00:00,291.67
JADAS,P000993,2023-06-05 09:00:00,842.08
JADAS,P000993,2023-06-05 10:00:00,906.33
JADAS,P000993,2023-06-05 11:00:00,1556.58
JADAS,P000993,2023-06-05 12:00:00,2079.92
JADAS,P000993,2023-06-05 13:00:00,2203.75
JADAS,P000993,2023-06-05 14:00:00,1857.75
JADAS,P000993,2023-06-05 15:00:00,1840.50
JADAS,P000993,2023-06-05 16:00:00,1037.08
JADAS,P000993,2023-06-05 17:00:00,0.00
JADAS,P000993,2023-06-05 18:00:00,776.50
JADAS,P000993,2023-06-05 19:00:00,716.83
JADAS,P000993,2023-06-05 20:00:00,114.08
JADAS,P000993,2023-06-05 21:00:00,27.58
JADAS,P000993,2023-06-05 22:00:00,0.00
JADAS,P000993,2023-06-05 23:00:00,0.00
