﻿Installation,ID client,Date,Courbe de charge (kWh)
LYCEE RESTAT - SERRE,P000387,2023-06-08 06:00:00,7.83
LYCEE RESTAT - SERRE,P000387,2023-06-08 07:00:00,44.17
LYCEE RESTAT - SERRE,P000387,2023-06-08 08:00:00,216.75
LYCEE RESTAT - SERRE,P000387,2023-06-08 09:00:00,432.92
LYCEE RESTAT - SERRE,P000387,2023-06-08 10:00:00,597.08
LYCEE RESTAT - SERRE,P000387,2023-06-08 11:00:00,633.17
LYCEE RESTAT - SERRE,P000387,2023-06-08 12:00:00,549.17
LYCEE RESTAT - SERRE,P000387,2023-06-08 13:00:00,573.42
LYCEE RESTAT - SERRE,P000387,2023-06-08 14:00:00,468.75
LYCEE RESTAT - SERRE,P000387,2023-06-08 15:00:00,408.08
LYCEE RESTAT - SERRE,P000387,2023-06-08 16:00:00,290.33
LYCEE RESTAT - SERRE,P000387,2023-06-08 17:00:00,324.83
LYCEE RESTAT - SERRE,P000387,2023-06-08 18:00:00,233.83
LYCEE RESTAT - SERRE,P000387,2023-06-08 19:00:00,143.08
LYCEE RESTAT - SERRE,P000387,2023-06-08 20:00:00,66.17
LYCEE RESTAT - SERRE,P000387,2023-06-08 21:00:00,4.25
LYCEE RESTAT - SERRE,P000387,2023-06-08 22:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-08 23:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-09 00:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-09 01:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-09 02:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-09 03:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-09 04:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-09 05:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-09 06:00:00,4.83
LYCEE RESTAT - SERRE,P000387,2023-06-09 07:00:00,47.58
LYCEE RESTAT - SERRE,P000387,2023-06-09 08:00:00,178.50
LYCEE RESTAT - SERRE,P000387,2023-06-09 09:00:00,180.75
LYCEE RESTAT - SERRE,P000387,2023-06-09 10:00:00,158.08
LYCEE RESTAT - SERRE,P000387,2023-06-09 11:00:00,25.67
LYCEE RESTAT - SERRE,P000387,2023-06-09 12:00:00,182.83
LYCEE RESTAT - SERRE,P000387,2023-06-09 13:00:00,231.58
LYCEE RESTAT - SERRE,P000387,2023-06-09 14:00:00,333.00
LYCEE RESTAT - SERRE,P000387,2023-06-09 15:00:00,734.25
LYCEE RESTAT - SERRE,P000387,2023-06-09 16:00:00,680.92
LYCEE RESTAT - SERRE,P000387,2023-06-09 17:00:00,425.92
LYCEE RESTAT - SERRE,P000387,2023-06-09 18:00:00,251.17
LYCEE RESTAT - SERRE,P000387,2023-06-09 19:00:00,47.58
LYCEE RESTAT - SERRE,P000387,2023-06-09 20:00:00,34.67
LYCEE RESTAT - SERRE,P000387,2023-06-09 21:00:00,13.50
LYCEE RESTAT - SERRE,P000387,2023-06-09 22:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-09 23:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-10 00:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-10 01:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-10 02:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-10 03:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-10 04:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-10 05:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-10 06:00:00,3.50
LYCEE RESTAT - SERRE,P000387,2023-06-10 07:00:00,33.00
LYCEE RESTAT - SERRE,P000387,2023-06-10 08:00:00,105.67
LYCEE RESTAT - SERRE,P000387,2023-06-10 09:00:00,359.33
LYCEE RESTAT - SERRE,P000387,2023-06-10 10:00:00,459.92
LYCEE RESTAT - SERRE,P000387,2023-06-10 11:00:00,595.83
LYCEE RESTAT - SERRE,P000387,2023-06-10 12:00:00,680.42
LYCEE RESTAT - SERRE,P000387,2023-06-10 13:00:00,732.75
LYCEE RESTAT - SERRE,P000387,2023-06-10 14:00:00,668.92
LYCEE RESTAT - SERRE,P000387,2023-06-10 15:00:00,449.42
LYCEE RESTAT - SERRE,P000387,2023-06-10 16:00:00,688.17
LYCEE RESTAT - SERRE,P000387,2023-06-10 17:00:00,428.00
LYCEE RESTAT - SERRE,P000387,2023-06-10 18:00:00,231.83
LYCEE RESTAT - SERRE,P000387,2023-06-10 19:00:00,28.83
LYCEE RESTAT - SERRE,P000387,2023-06-10 20:00:00,57.58
LYCEE RESTAT - SERRE,P000387,2023-06-10 21:00:00,8.67
LYCEE RESTAT - SERRE,P000387,2023-06-10 22:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-10 23:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-11 00:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-11 01:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-11 02:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-11 03:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-11 04:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-11 05:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-11 06:00:00,9.33
LYCEE RESTAT - SERRE,P000387,2023-06-11 07:00:00,77.17
LYCEE RESTAT - SERRE,P000387,2023-06-11 08:00:00,204.92
LYCEE RESTAT - SERRE,P000387,2023-06-11 09:00:00,412.50
LYCEE RESTAT - SERRE,P000387,2023-06-11 10:00:00,534.75
LYCEE RESTAT - SERRE,P000387,2023-06-11 11:00:00,729.08
LYCEE RESTAT - SERRE,P000387,2023-06-11 12:00:00,740.67
LYCEE RESTAT - SERRE,P000387,2023-06-11 13:00:00,679.25
LYCEE RESTAT - SERRE,P000387,2023-06-11 14:00:00,716.08
LYCEE RESTAT - SERRE,P000387,2023-06-11 15:00:00,466.00
LYCEE RESTAT - SERRE,P000387,2023-06-11 16:00:00,366.83
LYCEE RESTAT - SERRE,P000387,2023-06-11 17:00:00,416.58
LYCEE RESTAT - SERRE,P000387,2023-06-11 18:00:00,125.92
LYCEE RESTAT - SERRE,P000387,2023-06-11 19:00:00,90.17
LYCEE RESTAT - SERRE,P000387,2023-06-11 20:00:00,41.00
LYCEE RESTAT - SERRE,P000387,2023-06-11 21:00:00,5.58
LYCEE RESTAT - SERRE,P000387,2023-06-11 22:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-11 23:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-12 00:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-12 01:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-12 02:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-12 03:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-12 04:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-12 05:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-12 06:00:00,11.08
LYCEE RESTAT - SERRE,P000387,2023-06-12 07:00:00,60.75
LYCEE RESTAT - SERRE,P000387,2023-06-12 08:00:00,115.67
LYCEE RESTAT - SERRE,P000387,2023-06-12 09:00:00,147.42
LYCEE RESTAT - SERRE,P000387,2023-06-12 10:00:00,371.17
LYCEE RESTAT - SERRE,P000387,2023-06-12 11:00:00,415.17
LYCEE RESTAT - SERRE,P000387,2023-06-12 12:00:00,376.25
LYCEE RESTAT - SERRE,P000387,2023-06-12 13:00:00,493.17
LYCEE RESTAT - SERRE,P000387,2023-06-12 14:00:00,405.67
LYCEE RESTAT - SERRE,P000387,2023-06-12 15:00:00,489.50
LYCEE RESTAT - SERRE,P000387,2023-06-12 16:00:00,491.58
LYCEE RESTAT - SERRE,P000387,2023-06-12 17:00:00,320.58
LYCEE RESTAT - SERRE,P000387,2023-06-12 18:00:00,443.08
LYCEE RESTAT - SERRE,P000387,2023-06-12 19:00:00,173.83
LYCEE RESTAT - SERRE,P000387,2023-06-12 20:00:00,48.92
LYCEE RESTAT - SERRE,P000387,2023-06-12 21:00:00,8.50
LYCEE RESTAT - SERRE,P000387,2023-06-12 22:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-12 23:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-13 00:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-13 01:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-13 02:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-13 03:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-13 04:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-13 05:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-13 06:00:00,11.17
LYCEE RESTAT - SERRE,P000387,2023-06-13 07:00:00,67.08
