﻿Installation,ID client,Date,Courbe de charge (kWh)
ATN,,2023-06-04 00:00:00,0.00
ATN,,2023-06-04 01:00:00,0.00
ATN,,2023-06-04 02:00:00,0.00
ATN,,2023-06-04 03:00:00,0.00
ATN,,2023-06-04 04:00:00,0.00
ATN,,2023-06-04 05:00:00,0.00
ATN,,2023-06-04 06:00:00,10.42
ATN,,2023-06-04 07:00:00,115.17
ATN,,2023-06-04 08:00:00,342.75
ATN,,2023-06-04 09:00:00,588.58
ATN,,2023-06-04 10:00:00,1099.58
ATN,,2023-06-04 11:00:00,1204.17
ATN,,2023-06-04 12:00:00,0.00
ATN,,2023-06-04 13:00:00,0.00
ATN,,2023-06-04 14:00:00,0.00
ATN,,2023-06-04 15:00:00,0.00
ATN,,2023-06-04 16:00:00,478.25
ATN,,2023-06-04 17:00:00,905.58
ATN,,2023-06-04 18:00:00,89.58
ATN,,2023-06-04 19:00:00,25.25
ATN,,2023-06-04 20:00:00,50.75
ATN,,2023-06-04 21:00:00,8.17
ATN,,2023-06-04 22:00:00,0.00
ATN,,2023-06-04 23:00:00,0.00
ATN,,2023-06-05 00:00:00,0.00
ATN,,2023-06-05 01:00:00,0.00
ATN,,2023-06-05 02:00:00,0.00
ATN,,2023-06-05 03:00:00,0.00
ATN,,2023-06-05 04:00:00,0.00
ATN,,2023-06-05 05:00:00,0.00
ATN,,2023-06-05 06:00:00,3.33
ATN,,2023-06-05 07:00:00,129.42
ATN,,2023-06-05 08:00:00,304.58
ATN,,2023-06-05 09:00:00,971.42
ATN,,2023-06-05 10:00:00,968.67
ATN,,2023-06-05 11:00:00,1319.42
ATN,,2023-06-05 12:00:00,1518.83
ATN,,2023-06-05 13:00:00,1642.83
ATN,,2023-06-05 14:00:00,1628.17
ATN,,2023-06-05 15:00:00,1738.75
ATN,,2023-06-05 16:00:00,946.58
ATN,,2023-06-05 17:00:00,492.00
ATN,,2023-06-05 18:00:00,591.25
ATN,,2023-06-05 19:00:00,168.25
ATN,,2023-06-05 20:00:00,161.00
ATN,,2023-06-05 21:00:00,25.00
ATN,,2023-06-05 22:00:00,0.00
ATN,,2023-06-05 23:00:00,0.00
ATN,,2023-06-06 00:00:00,0.00
ATN,,2023-06-06 01:00:00,0.00
ATN,,2023-06-06 02:00:00,0.00
ATN,,2023-06-06 03:00:00,0.00
